country,iso_code,year,region,income_group,crop,area_harvested_ha,production_tonnes,yield_kg_ha,fertilizer_use_kg_ha,irrigation_pct,avg_temp_weather,avg_min_temp,avg_max_temp,avg_precipitation,avg_rain,avg_transp,annual_gdd,annual_precip_total,daily_precip_sd,extreme_hot_days,extreme_cold_days,extreme_temp_days,daily_precip_cv,extreme_hot32_days,extreme_hot35_days
United States,USA,2018,North America,High income,Wheat,4782989,32397951.41,6773.58,205.12,62.5,11.5814,6.4945,17.3142,2.3608,2.1082,3.3427,2173.35,861.7,6.034,65,132,197,2.5559,32,6
United States,USA,2022,North America,High income,Wheat,1520076,15199442.37,9999.13,130.55,39.3,12.3499,6.5586,18.5101,1.2721,1.1526,4.0006,2351.3,464.3,4.1398,80,130,210,3.2544,55,25
Nigeria,NGA,2016,Sub-Saharan Africa,Lower middle income,Wheat,200578,882142.37,4398.0,74.47,27.6,25.9268,21.5563,31.1082,6.0454,6.0454,4.3836,5977.6,2212.6,10.6937,211,0,211,1.7689,156,46
India,IND,2021,South Asia,Lower middle income,Rice,4362406,30497138.8,6990.9,57.79,21.7,27.149,22.2748,32.5912,3.0644,3.0644,4.6325,6363.05,1118.5,7.6058,272,0,272,2.482,151,93
Nigeria,NGA,2021,Sub-Saharan Africa,Lower middle income,Wheat,1086889,6054085.19,5570.1,84.54,23.6,25.7181,21.4647,30.8195,3.6299,3.6299,4.615,5891.85,1324.9,8.819,227,0,227,2.4296,128,33
South Africa,ZAF,2020,Sub-Saharan Africa,Upper middle income,Wheat,2933314,18489744.51,6303.36,133.06,31.4,18.3328,10.532,25.621,0.5637,0.5637,5.899,3074.25,206.3,2.5433,113,18,131,4.5122,80,29
India,IND,2017,South Asia,Lower middle income,Wheat,4364728,23729759.41,5436.71,89.65,32.7,27.8523,22.777,33.6055,2.4764,2.4764,5.1363,6639.8,903.9,6.9762,266,0,266,2.817,171,112
Uganda,UGA,2022,Sub-Saharan Africa,Low income,Maize,1604700,11906519.13,7419.78,31.67,8.8,23.5175,18.4816,29.8162,2.2915,2.2915,4.7147,5164.35,836.4,3.9821,161,0,161,1.7377,82,6
Kenya,KEN,2015,Sub-Saharan Africa,Low income,Maize,1643058,10209058.1,6213.45,24.09,12.8,23.6605,18.8926,28.9679,2.271,2.271,4.9646,5084.55,828.9,5.2348,115,0,115,2.3051,23,0
Brazil,BRA,2019,South America,Upper middle income,Soybeans,4557607,,4043.37,135.2,41.3,27.0477,22.0022,33.3236,2.011,2.011,4.6602,6446.95,734.0,4.2231,337,0,337,2.1,254,83
